,source,target
0,870363113308160000,1116096809624064000
1,870363113308160000,948169852547715072
2,870363113308160000,985587297503596544
3,870363113308160000,2942657375
4,870363113308160000,44849238
5,870363113308160000,3326599643
6,870363113308160000,898453457409114112
7,870363113308160000,1166813365093765120
8,870363113308160000,72058741
9,870363113308160000,78835016
10,1114900647583809537,19862042
11,1114900647583809537,168537772
12,1114900647583809537,37895085
13,1114900647583809537,449254789
14,1114900647583809537,388752038
15,1114900647583809537,15071251
16,1114900647583809537,228689734
17,1114900647583809537,29130296
18,1114900647583809537,12177772
19,1114900647583809537,39713727
20,1114900647583809537,124512591
21,1114900647583809537,2722608804
22,1114900647583809537,16143105
23,1114900647583809537,5878332
24,1114900647583809537,534255106
25,1114900647583809537,111041991
26,1114900647583809537,30288951
27,1114900647583809537,107183461
28,1114900647583809537,604752202
29,1114900647583809537,414959866
30,1114900647583809537,4338452835
31,1114900647583809537,4301250748
32,1114900647583809537,20055386
33,1114900647583809537,2194338684
34,1114900647583809537,14671775
35,1114900647583809537,14145854
36,1114900647583809537,181091752
37,1114900647583809537,101013718
38,1114900647583809537,21283221
39,1114900647583809537,27607934
40,1114900647583809537,581890839
41,1114900647583809537,2981431
42,1114900647583809537,2167077523
43,1114900647583809537,719654695585886208
44,1114900647583809537,363929398
45,1114900647583809537,873951288987398144
46,1114900647583809537,432585401
47,1114900647583809537,99674560
48,1114900647583809537,111153292
49,1114900647583809537,92475907
50,1114900647583809537,22773313
51,1114900647583809537,3633796887
52,1114900647583809537,847811530963996673
53,1114900647583809537,2301274070
54,1114900647583809537,14489531
55,1114900647583809537,7480172
56,1114900647583809537,1333656709
57,1114900647583809537,380863305
58,1114900647583809537,841437061
59,1114900647583809537,1096370895722082304
60,1114900647583809537,36579565
61,1114900647583809537,998325881885089802
62,1114900647583809537,4149299116
63,1114900647583809537,1036969747
64,1114900647583809537,20757469
65,1114900647583809537,304572237
66,1114900647583809537,17754586
67,1114900647583809537,225013119
68,1114900647583809537,370222916
69,1114900647583809537,879740426131034113
70,1114900647583809537,295326066
71,1114900647583809537,871854357339353088
72,1114900647583809537,371017223
73,1114900647583809537,51805546
74,1114900647583809537,58925145
75,1114900647583809537,730354615716175872
76,1114900647583809537,92722715
77,1114900647583809537,768880727656112128
78,1114900647583809537,339941459
79,1114900647583809537,93930418
80,1114900647583809537,146428363
81,1114900647583809537,242488617
82,1114900647583809537,16556796
83,1114900647583809537,15056816
84,1114900647583809537,917663680220852224
85,1114900647583809537,4717318832
86,1114900647583809537,322242792
87,1114900647583809537,118012929
88,1114900647583809537,93266570
89,1382986876345286658,19862042
90,1382986876345286658,63202158
91,1382986876345286658,14123666
92,1382986876345286658,2445807001
93,1382986876345286658,1108437189669597185
94,1382986876345286658,15675191
95,1382986876345286658,32696488
96,1382986876345286658,765101687111553024
97,1382986876345286658,1047799693911183360
98,1382986876345286658,1986571
99,997903964753494017,19862042
100,997903964753494017,755343
101,997903964753494017,2798120942
102,997903964753494017,19331692
103,997903964753494017,46193
104,997903964753494017,479706186
105,997903964753494017,1002118947972571136
106,997903964753494017,226599594
107,997903964753494017,917663680220852224
108,997903964753494017,21283221
109,997903964753494017,1218155225133080579
110,997903964753494017,3360065429
111,997903964753494017,20230937
112,997903964753494017,991701672106823680
113,997903964753494017,17314212
114,997903964753494017,4717318832
115,997903964753494017,14847163
116,997903964753494017,16514225
117,997903964753494017,179457498
118,997903964753494017,6468172
119,997903964753494017,964271234241519616
120,997903964753494017,17852787
121,997903964753494017,346523534
122,997903964753494017,303767784
123,997903964753494017,118012929
124,997903964753494017,15460156
125,997903964753494017,3131243261
126,997903964753494017,2164756843
127,997903964753494017,92722715
128,997903964753494017,733146369058164736
129,997903964753494017,39713727
130,997903964753494017,1204020134
131,997903964753494017,37803387
132,997903964753494017,1310307730301882371
133,997903964753494017,1009753502
134,997903964753494017,2301274070
135,997903964753494017,13388132
136,997903964753494017,2653586448
137,997903964753494017,70661041
138,997903964753494017,15155750
139,997903964753494017,903217980896628736
140,997903964753494017,1657570296
141,997903964753494017,1262422675
142,997903964753494017,7129072
143,997903964753494017,3750523582
144,997903964753494017,56380589
145,997903964753494017,24895968
146,997903964753494017,116064850
147,997903964753494017,51468374
148,997903964753494017,401604361
149,997903964753494017,2180614559
150,997903964753494017,3313829478
151,997903964753494017,842735897678372865
152,997903964753494017,284929481
153,997903964753494017,1334366744
154,997903964753494017,335450832
155,997903964753494017,2214026884
156,997903964753494017,1168840885
157,997903964753494017,179466527
158,997903964753494017,396536542
159,997903964753494017,363929398
160,997903964753494017,142676993
161,997903964753494017,1135977773951049734
162,997903964753494017,510047963
163,997903964753494017,20455022
164,997903964753494017,231609797
165,997903964753494017,778763673514958848
166,997903964753494017,1035836402695630848
167,997903964753494017,1172487059262595072
168,997903964753494017,43313035
169,997903964753494017,339542878
170,997903964753494017,27246431
171,997903964753494017,5461832
172,997903964753494017,15776340
173,997903964753494017,15391520
174,997903964753494017,1182064568
175,997903964753494017,120766602
176,997903964753494017,1096370895722082304
177,997903964753494017,19712948
178,997903964753494017,564502584
179,997903964753494017,18169446
180,997903964753494017,322777832
181,997903964753494017,738491831940489216
182,997903964753494017,386742226
183,997903964753494017,1130464193625436160
